strain	date
sample/100/1	1992-08-06
sample/100/10	1992-08-06
sample/100/2	1992-08-06
sample/100/3	1992-08-06
sample/100/4	1992-08-06
sample/100/5	1992-08-06
sample/100/6	1992-08-06
sample/100/7	1992-08-06
sample/100/8	1992-08-06
sample/100/9	1992-08-06
sample/150/1	1995-11-25
sample/150/10	1995-11-25
sample/150/2	1995-11-25
sample/150/3	1995-11-25
sample/150/4	1995-11-25
sample/150/5	1995-11-25
sample/150/6	1995-11-25
sample/150/7	1995-11-25
sample/150/8	1995-11-25
sample/150/9	1995-11-25
sample/200/1	1999-03-15
sample/200/10	1999-03-15
sample/200/2	1999-03-15
sample/200/3	1999-03-15
sample/200/4	1999-03-15
sample/200/5	1999-03-15
sample/200/6	1999-03-15
sample/200/7	1999-03-15
sample/200/8	1999-03-15
sample/200/9	1999-03-15
sample/250/1	2002-07-02
sample/250/10	2002-07-02
sample/250/2	2002-07-02
sample/250/3	2002-07-02
sample/250/4	2002-07-02
sample/250/5	2002-07-02
sample/250/6	2002-07-02
sample/250/7	2002-07-02
sample/250/8	2002-07-02
sample/250/9	2002-07-02
sample/300/1	2005-10-19
sample/300/10	2005-10-19
sample/300/2	2005-10-19
sample/300/3	2005-10-19
sample/300/4	2005-10-19
sample/300/5	2005-10-19
sample/300/6	2005-10-19
sample/300/7	2005-10-19
sample/300/8	2005-10-19
sample/300/9	2005-10-19
sample/350/1	2009-02-06
sample/350/10	2009-02-06
sample/350/2	2009-02-06
sample/350/3	2009-02-06
sample/350/4	2009-02-06
sample/350/5	2009-02-06
sample/350/6	2009-02-06
sample/350/7	2009-02-06
sample/350/8	2009-02-06
sample/350/9	2009-02-06
sample/400/1	2012-05-26
sample/400/10	2012-05-26
sample/400/2	2012-05-26
sample/400/3	2012-05-26
sample/400/4	2012-05-26
sample/400/5	2012-05-26
sample/400/6	2012-05-26
sample/400/7	2012-05-26
sample/400/8	2012-05-26
sample/400/9	2012-05-26
sample/450/1	2015-09-13
sample/450/10	2015-09-13
sample/450/2	2015-09-13
sample/450/3	2015-09-13
sample/450/4	2015-09-13
sample/450/5	2015-09-13
sample/450/6	2015-09-13
sample/450/7	2015-09-13
sample/450/8	2015-09-13
sample/450/9	2015-09-13
sample/50/1	1989-04-20
sample/50/10	1989-04-20
sample/50/2	1989-04-20
sample/50/3	1989-04-20
sample/50/4	1989-04-20
sample/50/5	1989-04-20
sample/50/6	1989-04-20
sample/50/7	1989-04-20
sample/50/8	1989-04-20
sample/50/9	1989-04-20
sample/500/1	2019-01-01
sample/500/10	2019-01-01
sample/500/2	2019-01-01
sample/500/3	2019-01-01
sample/500/4	2019-01-01
sample/500/5	2019-01-01
sample/500/6	2019-01-01
sample/500/7	2019-01-01
sample/500/8	2019-01-01
sample/500/9	2019-01-01
