strain	accession	virus	date	country	source	sequence_locus	subtype
HKU1/HTBEC_lab/BRA/HKU1_21/2006	KF430198	seasonal_corona	2006-XX-XX	brazil	full	hku1	beta
HKU1/human/USA/HKU1_1/2005	KF686338	seasonal_corona	2005-02-18	usa	full	hku1	beta
N08_87	KY674921	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
N09_1663B	KY674941	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
HKU1/human/USA/HKU1_15/2009	KF686344	seasonal_corona	2009-12-28	usa	full	hku1	beta
HKU1/human/USA/HKU1_4/2005	KF430196	seasonal_corona	2005-04-19	usa	full	hku1	beta
SC2628	KY983584	seasonal_corona	2015-XX-XX	usa	full	hku1	beta
BJ01_p9	KT779556	seasonal_corona	2009-04-23	china	full	hku1	beta
HKU1/human/USA/HKU1_11/2009	KF686342	seasonal_corona	2009-12-13	usa	full	hku1	beta
Caen1	HM034837	seasonal_corona	2005-03-04	france	full	hku1	beta
HKU1/human/USA/HKU1_16/2010	KF430200	seasonal_corona	2010-01-08	usa	full	hku1	beta
HKU1	AY597011	seasonal_corona	2010-XX-XX	usa	full	hku1	beta
SC2521	MK167038	seasonal_corona	2017-XX-XX	usa	full	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_23/2006	KF430203	seasonal_corona	2006-XX-XX	brazil	full	hku1	beta
HKU1/human/USA/HKU1_14/2009	KF430199	seasonal_corona	2009-12-28	usa	full	hku1	beta
HKU1/human/USA/HKU1_10/2010	KF686341	seasonal_corona	2010-01-16	usa	full	hku1	beta
HKU1/human/USA/HKU1_18/2010	KF430201	seasonal_corona	2010-01-22	usa	full	hku1	beta
HKU1/human/USA/HKU1_5/2009	KF686340	seasonal_corona	2009-11-28	usa	full	hku1	beta
N09_1605B	KY674943	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
HKU1/human/USA/HKU1_3/2009	KF686339	seasonal_corona	2009-10-31	usa	full	hku1	beta
N09_1627B	KY674942	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
HKU1/human/USA/HKU1_7/2010	KF430202	seasonal_corona	2010-01-03	usa	full	hku1	beta
SI17244	MH940245	seasonal_corona	2017-06-04	thailand	full	hku1	beta
HKU1/human/USA/HKU1_12/2010	KF686346	seasonal_corona	2010-01-09	usa	full	hku1	beta
HKU1/human/USA/HKU1_13/2010	KF686343	seasonal_corona	2010-01-08	usa	full	hku1	beta
BJ01_p3	KT779555	seasonal_corona	2009-04-23	china	full	hku1	beta
HKU1/human/USA/HKU1_20/2010	KF686345	seasonal_corona	2010-01-30	usa	full	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_22/2007	KF430197	seasonal_corona	2007-XX-XX	brazil	full	hku1	beta
