strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
hku1/KT779555/BJ01_p3/2009	KT779555	BJ01_p3	2009-04-23	Human	China	Human_coronavirus_HKU1	hku1	beta	full
hku1/KT779556/BJ01_p9/2009	KT779556	BJ01_p9	2009-04-23	Human	China	Human_coronavirus_HKU1	hku1	beta	full
hku1/HM034837/Caen1/2005	HM034837	Caen1	2005-03-04	Human	France	Human_coronavirus_HKU1	hku1	beta	full
hku1/AY597011/HKU1/NA	AY597011	HKU1	NA	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/NC_006577/HKU1/NA	NC_006577	HKU1	NA	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF850450/HKU1/human/USA/1102/2005/2005	KF850450	HKU1/human/USA/1102/2005	2005-04-09	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686338/HKU1/human/USA/HKU1_1/2005/2005	KF686338	HKU1/human/USA/HKU1_1/2005	2005-02-18	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686341/HKU1/human/USA/HKU1_10/2010/2010	KF686341	HKU1/human/USA/HKU1_10/2010	2010-01-16	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686342/HKU1/human/USA/HKU1_11/2009/2009	KF686342	HKU1/human/USA/HKU1_11/2009	2009-12-13	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686346/HKU1/human/USA/HKU1_12/2010/2010	KF686346	HKU1/human/USA/HKU1_12/2010	2010-01-09	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686343/HKU1/human/USA/HKU1_13/2010/2010	KF686343	HKU1/human/USA/HKU1_13/2010	2010-01-08	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF430199/HKU1/human/USA/HKU1_14/2009/2009	KF430199	HKU1/human/USA/HKU1_14/2009	2009-12-28	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686344/HKU1/human/USA/HKU1_15/2009/2009	KF686344	HKU1/human/USA/HKU1_15/2009	2009-12-28	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF430200/HKU1/human/USA/HKU1_16/2010/2010	KF430200	HKU1/human/USA/HKU1_16/2010	2010-01-08	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF430201/HKU1/human/USA/HKU1_18/2010/2010	KF430201	HKU1/human/USA/HKU1_18/2010	2010-01-22	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686345/HKU1/human/USA/HKU1_20/2010/2010	KF686345	HKU1/human/USA/HKU1_20/2010	2010-01-30	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686339/HKU1/human/USA/HKU1_3/2009/2009	KF686339	HKU1/human/USA/HKU1_3/2009	2009-10-31	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF430196/HKU1/human/USA/HKU1_4/2005/2005	KF430196	HKU1/human/USA/HKU1_4/2005	2005-04-19	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF686340/HKU1/human/USA/HKU1_5/2009/2009	KF686340	HKU1/human/USA/HKU1_5/2009	2009-11-28	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KF430202/HKU1/human/USA/HKU1_7/2010/2010	KF430202	HKU1/human/USA/HKU1_7/2010	2010-01-03	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KY674921/N08_87/2016	KY674921	N08_87	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KY674943/N09_1605B/2016	KY674943	N09_1605B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KY674942/N09_1627B/2016	KY674942	N09_1627B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KY674941/N09_1663B/2016	KY674941	N09_1663B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/MK167038/SC2521/2017	MK167038	SC2521	2017-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/KY983584/SC2628/2015	KY983584	SC2628	2015-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
hku1/MH940245/SI17244/2017	MH940245	SI17244	2017-06-04	Human	Thailand	Human_coronavirus_HKU1	hku1	beta	full
hku1/MF996625/HKU1/2014	MF996625	HKU1	2014-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996626/HKU1/2015	MF996626	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996627/HKU1/2015	MF996627	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996628/HKU1/2015	MF996628	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996629/HKU1/2015	MF996629	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996630/HKU1/2015	MF996630	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996631/HKU1/2015	MF996631	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996632/HKU1/2015	MF996632	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996633/HKU1/2015	MF996633	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996634/HKU1/2015	MF996634	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996635/HKU1/2015	MF996635	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996636/HKU1/2015	MF996636	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996637/HKU1/2015	MF996637	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996638/HKU1/2015	MF996638	HKU1	2015-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku1/MF996639/HKU1/2014	MF996639	HKU1	2014-XX-XX	Human	China	unidentified_human_coronavirus	hku1	beta	full
hku14_3/JN874560/HKU1/china/2007	JN874560	hku14_3	2007-XX-XX	rabbit	China	Rabbit_coronavirus_HKU14	hku1	beta	full
