strain	accession	virus	date	country	source	sequence_locus	subtype
12MYKL0181	KR055533	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_1/2005	KF686338	seasonal_corona	2005-02-18	usa	full	hku1	beta
12MYKL1061	KR055545	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
N08_87	KY674921	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
N09_1663B	KY674941	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
HKU1/human/USA/1102/2005	KF850450	seasonal_corona	2005-04-09	usa	full	hku1	beta
13MYKL1997	KR055553	seasonal_corona	2013-XX-XX	malaysia	full	hku1	beta
12MYKL0323	KR055534	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
12MYKL0841	KR055543	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_15/2009	KF686344	seasonal_corona	2009-12-28	usa	full	hku1	beta
HKU1/human/USA/HKU1_4/2005	KF430196	seasonal_corona	2005-04-19	usa	full	hku1	beta
SC2628	KY983584	seasonal_corona	2015-XX-XX	usa	full	hku1	beta
BJ01_p9	KT779556	seasonal_corona	2009-04-23	china	full	hku1	beta
HKU1/human/USA/HKU1_11/2009	KF686342	seasonal_corona	2009-12-13	usa	full	hku1	beta
12MYKL0777	KR055541	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
Caen1	HM034837	seasonal_corona	2005-03-04	france	full	hku1	beta
HKU1/human/USA/HKU1_16/2010	KF430200	seasonal_corona	2010-01-08	usa	full	hku1	beta
HKU1	AY597011	seasonal_corona	2010-XX-XX	usa	full	hku1	beta
12MYKL0407	KR055535	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
SC2521	MK167038	seasonal_corona	2017-XX-XX	usa	full	hku1	beta
12MYKL0790	KR055542	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
12MYKL0624	KR055538	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
12MYKL0737	KR055539	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_14/2009	KF430199	seasonal_corona	2009-12-28	usa	full	hku1	beta
HKU1/human/USA/HKU1_10/2010	KF686341	seasonal_corona	2010-01-16	usa	full	hku1	beta
12MYKL0529	KR055537	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_18/2010	KF430201	seasonal_corona	2010-01-22	usa	full	hku1	beta
12MYKL1058	KR055544	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
12MYKL1217	KR055550	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_5/2009	KF686340	seasonal_corona	2009-11-28	usa	full	hku1	beta
N09_1605B	KY674943	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
12MYKL1132	KR055547	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_3/2009	KF686339	seasonal_corona	2009-10-31	usa	full	hku1	beta
13MYKL1898	KR055552	seasonal_corona	2013-XX-XX	malaysia	full	hku1	beta
N09_1627B	KY674942	seasonal_corona	2016-XX-XX	usa	full	hku1	beta
12MYKL1153	KR055548	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_7/2010	KF430202	seasonal_corona	2010-01-03	usa	full	hku1	beta
12MYKL1214	KR055549	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
12MYKL0447	KR055536	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
SI17244	MH940245	seasonal_corona	2017-06-04	thailand	full	hku1	beta
12MYKL0163	KR055532	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_12/2010	KF686346	seasonal_corona	2010-01-09	usa	full	hku1	beta
HKU1/human/USA/HKU1_13/2010	KF686343	seasonal_corona	2010-01-08	usa	full	hku1	beta
12MYKL1075	KR055546	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
BJ01_p3	KT779555	seasonal_corona	2009-04-23	china	full	hku1	beta
12MYKL0759	KR055540	seasonal_corona	2012-XX-XX	malaysia	full	hku1	beta
HKU1/human/USA/HKU1_20/2010	KF686345	seasonal_corona	2010-01-30	usa	full	hku1	beta
13MYKL1781	KR055551	seasonal_corona	2013-XX-XX	malaysia	full	hku1	beta
