strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
oc43/KU131570/HCoV_OC43/UK/London/2011/2011	KU131570	HCoV_OC43/UK/London/2011	2011-08-20	Human	United_Kingdom	Betacoronavirus_1	oc43	beta	full
oc43/MF314143/HCoV_OC43/USA/ACRI_0052/2016/2016	MF314143	HCoV_OC43/USA/ACRI_0052/2016	2016-03-07	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY967360/HCoV_OC43/Seattle/USA/SC2476/2015/2015	KY967360	HCoV_OC43/Seattle/USA/SC2476/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530092/OC43/human/USA/008_5/2000/2000	KF530092	OC43/human/USA/008_5/2000	2000-08-08	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530093/OC43/human/USA/832_27/1983/1983	KF530093	OC43/human/USA/832_27/1983	1983-02-24	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530060/OC43/human/USA/851_15/1985/1985	KF530060	OC43/human/USA/851_15/1985	1985-01-08	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530085/OC43/human/USA/871_25/1987/1987	KF530085	OC43/human/USA/871_25/1987	1987-01-22	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530086/OC43/human/USA/872_5/1987/1987	KF530086	OC43/human/USA/872_5/1987	1987-02-10	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530077/OC43/human/USA/873_16/1987/1987	KF530077	OC43/human/USA/873_16/1987	1987-03-12	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530083/OC43/human/USA/873_19/1987/1987	KF530083	OC43/human/USA/873_19/1987	1987-03-17	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530087/OC43/human/USA/873_6/1987/1987	KF530087	OC43/human/USA/873_6/1987	1987-03-05	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530073/OC43/human/USA/8912_37/1989/1989	KF530073	OC43/human/USA/8912_37/1989	1989-12-21	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530066/OC43/human/USA/901_33/1990/1990	KF530066	OC43/human/USA/901_33/1990	1990-01-16	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530065/OC43/human/USA/901_41/1990/1990	KF530065	OC43/human/USA/901_41/1990	1990-01-17	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530061/OC43/human/USA/901_43/1990/1990	KF530061	OC43/human/USA/901_43/1990	1990-01-19	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530097/OC43/human/USA/9211_43/1992/1992	KF530097	OC43/human/USA/9211_43/1992	1992-11-30	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530074/OC43/human/USA/9212_33/1992/1992	KF530074	OC43/human/USA/9212_33/1992	1992-12-16	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530090/OC43/human/USA/931_85/1993/1993	KF530090	OC43/human/USA/931_85/1993	1993-01-26	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530059/OC43/human/USA/951_15/1995/1995	KF530059	OC43/human/USA/951_15/1995	1995-01-11	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530062/OC43/human/USA/952_23/1995/1995	KF530062	OC43/human/USA/952_23/1995	1995-02-13	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530075/OC43/human/USA/953_23/1995/1995	KF530075	OC43/human/USA/953_23/1995	1995-03-09	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530078/OC43/human/USA/9612_29/1996/1996	KF530078	OC43/human/USA/9612_29/1996	1996-12-17	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530064/OC43/human/USA/9612_9/1996/1996	KF530064	OC43/human/USA/9612_9/1996	1996-12-04	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530072/OC43/human/USA/9712_13/1997/1997	KF530072	OC43/human/USA/9712_13/1997	1997-12-11	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530080/OC43/human/USA/9712_31/1997/1997	KF530080	OC43/human/USA/9712_31/1997	1997-12-18	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN026165/OC43_KLF_02_2017/2017	MN026165	OC43_KLF_02_2017	2017-11-27	Human	Kenya	Betacoronavirus_1	oc43	beta	full
