strain	accession	virus	date	country	source	sequence_locus	subtype
HCoV_229E/Seattle/USA/SC1073/2016	KY369913	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
J0304	JX503061	seasonal_corona	2009-XX-XX	italy	full	229e	alpha
HCoV_229E/Seattle/USA/SC1143/2016	KY369910	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC579/2016	KY369908	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
2981A_2011	KM055550	seasonal_corona	2011-XX-XX	china	full	229e	alpha
2861A_2011	KM055548	seasonal_corona	2011-XX-XX	china	full	229e	alpha
229E	KF293666	seasonal_corona	2011-12-13	thailand	full	229e	alpha
HCoV_229E/Seattle/USA/SC9731/2016	KY369912	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
1827A_2010	KM055541	seasonal_corona	2010-XX-XX	china	full	229e	alpha
693A_2008	KM055556	seasonal_corona	2008-XX-XX	china	full	229e	alpha
8339_2009	KM055545	seasonal_corona	2009-XX-XX	china	full	229e	alpha
8348_2009	KM055558	seasonal_corona	2009-XX-XX	china	full	229e	alpha
1658A_2009	KM055536	seasonal_corona	2009-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC1212/2016	KY369911	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E/human/USA/933_40/1993	KF514433	seasonal_corona	1993-03-11	usa	full	229e	alpha
2961A_2011	KM055549	seasonal_corona	2011-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC379/2016	KY621348	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC677/2016	KY369909	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
423A_2007	KM055552	seasonal_corona	2007-XX-XX	china	full	229e	alpha
229E/human/USA/932_72/1993	KF514432	seasonal_corona	1993-02-22	usa	full	229e	alpha
1781A_2010	KM055539	seasonal_corona	2010-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC2872/2015	KY967357	seasonal_corona	2015-XX-XX	usa	full	229e	alpha
8425_2009	KM055547	seasonal_corona	2009-XX-XX	china	full	229e	alpha
1667A_2009	KM055537	seasonal_corona	2009-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC3112/2015	KY983587	seasonal_corona	2015-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC2282/2017	KY684760	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
1649A_2009	KM055535	seasonal_corona	2009-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC9724/2018	MN369046	seasonal_corona	2018-XX-XX	usa	full	229e	alpha
1482A_2009	KM055553	seasonal_corona	2009-XX-XX	china	full	229e	alpha
229E/human/USA/892_11/1989	KF514429	seasonal_corona	1989-02-07	usa	full	229e	alpha
229E/human/USA/933_50/1993	KF514430	seasonal_corona	1993-03-18	usa	full	229e	alpha
359A_2007	KM055551	seasonal_corona	2007-XX-XX	china	full	229e	alpha
1518A_2009	KM055533	seasonal_corona	2009-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC9773/2016	KY369914	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
857_2005	KM055559	seasonal_corona	2005-XX-XX	china	full	229e	alpha
494A_2008	KM055554	seasonal_corona	2008-XX-XX	china	full	229e	alpha
HCoV_229E/BN1/GER/2015	KU291448	seasonal_corona	2015-XX-XX	germany	full	229e	alpha
2764A_2011	KM055544	seasonal_corona	2011-XX-XX	china	full	229e	alpha
HCoV/229E/N04	GU068549	seasonal_corona	2008-02-21	china	full	229e	alpha
HCoV/229E/N02	GU068547	seasonal_corona	2008-01-17	china	full	229e	alpha
1512A_2009	KM055532	seasonal_corona	2009-XX-XX	china	full	229e	alpha
1546A_2009	KM055534	seasonal_corona	2009-XX-XX	china	full	229e	alpha
N08_434B	KY674919	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E/human/USA/953_49/1995	KF514431	seasonal_corona	1995-03-23	usa	full	229e	alpha
507A_2008	KM055555	seasonal_corona	2008-XX-XX	china	full	229e	alpha
V349	JX503060	seasonal_corona	2010-XX-XX	netherlands	full	229e	alpha
748_2005	KM055557	seasonal_corona	2005-XX-XX	china	full	229e	alpha
1761A_2010	KM055538	seasonal_corona	2010-XX-XX	china	full	229e	alpha
HCoV/229E/N01	GU068546	seasonal_corona	2007-12-17	china	full	229e	alpha
1829A_2010	KM055542	seasonal_corona	2010-XX-XX	china	full	229e	alpha
229E/Haiti_1/2016	MF542265	seasonal_corona	2016-03-XX	haiti	full	229e	alpha
HCoV/229E/N03	GU068548	seasonal_corona	2008-01-24	china	full	229e	alpha
CU_H2869/2011	JX513245	seasonal_corona	2011-01-06	thailand	full	229e	alpha
HCoV_229E/Seattle/USA/SC0865/2019	MN306046	seasonal_corona	2019-XX-XX	usa	full	229e	alpha
11949_2011	KM055531	seasonal_corona	2011-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC399/2016	KY674914	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
1990A_2010	KM055543	seasonal_corona	2010-XX-XX	china	full	229e	alpha
8373_2009	KM055546	seasonal_corona	2009-XX-XX	china	full	229e	alpha
1424A_2009	KM055560	seasonal_corona	2009-XX-XX	china	full	229e	alpha
1782A_2010	KM055540	seasonal_corona	2010-XX-XX	china	full	229e	alpha
