strain	accession	virus	date	country	source	sequence_locus	subtype
HCoV_229E/Seattle/USA/SC1073/2016	KY369913	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
J0304	JX503061	seasonal_corona	2009-XX-XX	italy	full	229e	alpha
HCoV_229E/Seattle/USA/SC1143/2016	KY369910	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC579/2016	KY369908	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E	KF293666	seasonal_corona	2011-12-13	thailand	full	229e	alpha
HCoV_229E/Seattle/USA/SC9731/2016	KY369912	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC1212/2016	KY369911	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E/human/USA/933_40/1993	KF514433	seasonal_corona	1993-03-11	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC379/2016	KY621348	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E/human/USA/932_72/1993	KF514432	seasonal_corona	1993-02-22	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC2872/2015	KY967357	seasonal_corona	2015-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC3112/2015	KY983587	seasonal_corona	2015-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC2282/2017	KY684760	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC9724/2018	MN369046	seasonal_corona	2018-XX-XX	usa	full	229e	alpha
229E/human/USA/892_11/1989	KF514429	seasonal_corona	1989-02-07	usa	full	229e	alpha
229E/human/USA/933_50/1993	KF514430	seasonal_corona	1993-03-18	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC9773/2016	KY369914	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/BN1/GER/2015	KU291448	seasonal_corona	2015-XX-XX	germany	full	229e	alpha
N08_434B	KY674919	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
229E/human/USA/953_49/1995	KF514431	seasonal_corona	1995-03-23	usa	full	229e	alpha
V349	JX503060	seasonal_corona	2010-XX-XX	netherlands	full	229e	alpha
229E/Haiti_1/2016	MF542265	seasonal_corona	2016-03-XX	haiti	full	229e	alpha
HCoV_229E/Seattle/USA/SC0865/2019	MN306046	seasonal_corona	2019-XX-XX	usa	full	229e	alpha
HCoV_229E/Seattle/USA/SC399/2016	KY674914	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
