strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
229e/JX503060/0349/2010	JX503060	0349	2010-XX-XX	Human	Netherlands	Human_coronavirus_229E	229e	alpha	full
229e/LC005741/1060_Yamagata_2010/2010	LC005741	1060_Yamagata_2010	2010-XX-XX	Human	Japan	Human_coronavirus_229E	229e	alpha	full
229e/KM055524/11949_2011/2011	KM055524	11949_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055531/11949_2011/2011	KM055531	11949_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KM055590/11949_2011/2011	KM055590	11949_2011	2011-XX-XX	Human	China	Human_coronavirus_229E	229e	alpha	full
229e/KT359730/12MYKL0011/2012	KT359730	12MYKL0011	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359752/12MYKL0011/2012	KT359752	12MYKL0011	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359770/12MYKL0011/2012	KT359770	12MYKL0011	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359731/12MYKL0051/2012	KT359731	12MYKL0051	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359753/12MYKL0051/2012	KT359753	12MYKL0051	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359771/12MYKL0051/2012	KT359771	12MYKL0051	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359732/12MYKL0052/2012	KT359732	12MYKL0052	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359754/12MYKL0052/2012	KT359754	12MYKL0052	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359772/12MYKL0052/2012	KT359772	12MYKL0052	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359733/12MYKL0106/2012	KT359733	12MYKL0106	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359755/12MYKL0106/2012	KT359755	12MYKL0106	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359734/12MYKL0126/2012	KT359734	12MYKL0126	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359756/12MYKL0126/2012	KT359756	12MYKL0126	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359773/12MYKL0126/2012	KT359773	12MYKL0126	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359735/12MYKL0335/2012	KT359735	12MYKL0335	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359757/12MYKL0335/2012	KT359757	12MYKL0335	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359774/12MYKL0335/2012	KT359774	12MYKL0335	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359736/12MYKL0367/2012	KT359736	12MYKL0367	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359758/12MYKL0367/2012	KT359758	12MYKL0367	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359775/12MYKL0367/2012	KT359775	12MYKL0367	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359737/12MYKL0415/2012	KT359737	12MYKL0415	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359759/12MYKL0415/2012	KT359759	12MYKL0415	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359776/12MYKL0415/2012	KT359776	12MYKL0415	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359738/12MYKL0424/2012	KT359738	12MYKL0424	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359777/12MYKL0424/2012	KT359777	12MYKL0424	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359739/12MYKL0543/2012	KT359739	12MYKL0543	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359760/12MYKL0543/2012	KT359760	12MYKL0543	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359778/12MYKL0543/2012	KT359778	12MYKL0543	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359740/12MYKL0667/2012	KT359740	12MYKL0667	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359761/12MYKL0667/2012	KT359761	12MYKL0667	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359779/12MYKL0667/2012	KT359779	12MYKL0667	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359741/12MYKL0784/2012	KT359741	12MYKL0784	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359780/12MYKL0784/2012	KT359780	12MYKL0784	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359742/12MYKL0929/2012	KT359742	12MYKL0929	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359743/12MYKL1076/2012	KT359743	12MYKL1076	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359762/12MYKL1076/2012	KT359762	12MYKL1076	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359744/12MYKL1102/2012	KT359744	12MYKL1102	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359763/12MYKL1102/2012	KT359763	12MYKL1102	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
229e/KT359781/12MYKL1102/2012	KT359781	12MYKL1102	2012-XX-XX	Human	Malaysia	Human_coronavirus_229E	229e	alpha	full
