strain	accession	virus	date	country	source	sequence_locus	subtype
HCoV_OC43/Seattle/USA/SC0776/2019	MN310478	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2730/2015	KY967359	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/912_10/1991	KF530067	seasonal_corona	1991-02-07	usa	full	oc43	beta
OC43/human/USA/913_29/1991	KF530079	seasonal_corona	1991-03-14	usa	full	oc43	beta
OC43/human/USA/872_5/1987	KF530086	seasonal_corona	1987-02-10	usa	full	oc43	beta
OC43/human/USA/901_33/1990	KF530066	seasonal_corona	1990-01-16	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC9428/2018	MN310476	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
OC43/human/USA/873_19/1987	KF530083	seasonal_corona	1987-03-17	usa	full	oc43	beta
OC43/human/USA/901_54/1990	KF530088	seasonal_corona	1990-01-23	usa	full	oc43	beta
OC43/human/USA/008_5/2000	KF530092	seasonal_corona	2000-08-08	usa	full	oc43	beta
OC43/human/USA/965_6/1996	KF530098	seasonal_corona	1996-05-10	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC9430/2018	MN306053	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
HCoV_OC43/USA/ACRI_0213/2016	MH121121	seasonal_corona	2016-12-19	usa	full	oc43	beta
HCoV_OC43/USA/TCNP_00212/2017	MF374985	seasonal_corona	2017-01-17	usa	full	oc43	beta
OC43/human/USA/901_41/1990	KF530065	seasonal_corona	1990-01-17	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2269/2016	KY684759	seasonal_corona	2016-XX-XX	usa	full	oc43	beta
OC43/human/USA/951_15/1995	KF530059	seasonal_corona	1995-01-11	usa	full	oc43	beta
OC43/human/USA/873_16/1987	KF530077	seasonal_corona	1987-03-12	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2345/2015	KY967361	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/911_38/1991	KF530096	seasonal_corona	1991-01-15	usa	full	oc43	beta
OC43/human/USA/9212_33/1992	KF530074	seasonal_corona	1992-12-16	usa	full	oc43	beta
OC43/human/USA/991_19/1999	KF530070	seasonal_corona	1999-01-15	usa	full	oc43	beta
OC43_KLF_02_2017	MN026165	seasonal_corona	2017-11-27	kenya	full	oc43	beta
HCoV_OC43/Seattle/USA/SC3118/2015	KY983588	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/9712_31/1997	KF530080	seasonal_corona	1997-12-18	usa	full	oc43	beta
OC43/human/USA/9612_29/1996	KF530078	seasonal_corona	1996-12-17	usa	full	oc43	beta
OC43/human/Mex/LRTI_238/2011	KX344031	seasonal_corona	2011-02-09	mexico	full	oc43	beta
OC43/human/USA/951_18/1995	KF530084	seasonal_corona	1995-01-12	usa	full	oc43	beta
OC43/human/USA/873_6/1987	KF530087	seasonal_corona	1987-03-05	usa	full	oc43	beta
HCoV_OC43/UK/London/2011	KU131570	seasonal_corona	2011-08-20	united_kingdom	full	oc43	beta
HCoV_OC43/USA/TCNP_0070/2016	MF374983	seasonal_corona	2016-02-01	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC831/2016	KY369905	seasonal_corona	2016-XX-XX	usa	full	oc43	beta
OC43/human/USA/911_11/1991	KF530076	seasonal_corona	1991-01-03	usa	full	oc43	beta
OC43/human/USA/912_6/1991	KF530095	seasonal_corona	1991-02-05	usa	full	oc43	beta
OC43/human/USA/9211_43/1992	KF530097	seasonal_corona	1992-11-30	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2924/2015	KY967356	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC0839/2019	MN306042	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
OC43/human/USA/007_11/2000	KF530068	seasonal_corona	2000-07-27	usa	full	oc43	beta
OC43/human/USA/912_11/1991	KF530082	seasonal_corona	1991-02-07	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC622/2016	KY369906	seasonal_corona	2016-XX-XX	usa	full	oc43	beta
OC43/human/USA/952_23/1995	KF530062	seasonal_corona	1995-02-13	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2770/2015	KY967358	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/982_4/1998	KF530069	seasonal_corona	1998-02-05	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC0841/2019	MN306043	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2854/2015	KY983585	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/871_25/1987	KF530085	seasonal_corona	1987-01-22	usa	full	oc43	beta
OC43/human/USA/901_43/1990	KF530061	seasonal_corona	1990-01-19	usa	full	oc43	beta
OC43/human/USA/851_15/1985	KF530060	seasonal_corona	1985-01-08	usa	full	oc43	beta
OC43/human/USA/832_27/1983	KF530093	seasonal_corona	1983-02-24	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC0682/2019	MN306036	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
OC43/human/USA/925_1/1992	KF530071	seasonal_corona	1992-05-04	usa	full	oc43	beta
OC43/human/USA/9612_9/1996	KF530064	seasonal_corona	1996-12-04	usa	full	oc43	beta
OC43/human/USA/9712_13/1997	KF530072	seasonal_corona	1997-12-11	usa	full	oc43	beta
OC43/human/USA/953_23/1995	KF530075	seasonal_corona	1995-03-09	usa	full	oc43	beta
OC43/human/USA/991_5/1999	KF530081	seasonal_corona	1999-01-07	usa	full	oc43	beta
OC43/human/USA/912_36/1991	KF530094	seasonal_corona	1991-02-22	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC0810/2019	MN306041	seasonal_corona	2019-XX-XX	usa	full	oc43	beta
OC43/human/USA/911_58/1991	KF530091	seasonal_corona	1991-01-24	usa	full	oc43	beta
OC43/human/USA/9612_48/1996	KF530063	seasonal_corona	1996-12-30	usa	full	oc43	beta
HCoV_OC43/USA/ACRI_0052/2016	MF314143	seasonal_corona	2016-03-07	usa	full	oc43	beta
OC43/human/USA/931_85/1993	KF530090	seasonal_corona	1993-01-26	usa	full	oc43	beta
OC43_KLF_01_2018	MN026164	seasonal_corona	2018-01-18	kenya	full	oc43	beta
HCoV_OC43/USA/TCNP_00204/2017	MF374984	seasonal_corona	2017-01-03	usa	full	oc43	beta
OC43/human/USA/971_5/1997	KF530099	seasonal_corona	1997-01-02	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2476/2015	KY967360	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
OC43/human/USA/8912_37/1989	KF530073	seasonal_corona	1989-12-21	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC9741/2016	KY369907	seasonal_corona	2016-XX-XX	usa	full	oc43	beta
OC43/human/USA/911_66/1991	KF530089	seasonal_corona	1991-01-29	usa	full	oc43	beta
HCoV_OC43/Seattle/USA/SC2481/2015	KY983583	seasonal_corona	2015-XX-XX	usa	full	oc43	beta
