strain	accession	virus	date	country	source	sequence_locus	subtype
NL63/DEN/2010/31	JQ771058	seasonal_corona	2010-12-11	usa	full	nl63	alpha
NL63/human/USA/911_56/1991	KF530107	seasonal_corona	1991-01-24	usa	full	nl63	alpha
Kilifi/HH/0512/04_Jun_2010	MG356426	seasonal_corona	2010-06-04	kenya	full	nl63	alpha
ChinaGD04	MK334047	seasonal_corona	2018-07-25	china	full	nl63	alpha
Kilifi/HH/5402/20_May_2010	MG356419	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
NL63	MF996622	seasonal_corona	2010-XX-XX	australia	full	nl63	alpha
Kilifi_HH_0511_01_Jun_2010	MG428703	seasonal_corona	2010-06-01	kenya	full	nl63	alpha
Kilifi/HH/5401/20_May_2010	MG356421	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
909A_2008	KM055645	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
225A_2007	KM055640	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
Kilifi/IP/014/21_Aug_2012	MG356437	seasonal_corona	2012-08-21	kenya	full	nl63	alpha
NL63/DEN/2010/36	JQ771060	seasonal_corona	2010-12-30	usa	full	nl63	alpha
N07_6B	KY674915	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/DEN/2005/193	JQ765568	seasonal_corona	2005-01-11	usa	full	nl63	alpha
971A_2008	KM055643	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
NL63/DEN/2010/28	JQ771057	seasonal_corona	2010-12-03	usa	full	nl63	alpha
HCoVNL63/Tokyo/SGH_24/2018	LC488388	seasonal_corona	2018-XX-XX	japan	full	nl63	alpha
NL63/FRA_EPI/Caen/2005/04	KY862051	seasonal_corona	2005-02-23	france	full	nl63	alpha
NL63/human/USA/891_4/1989	KF530114	seasonal_corona	1989-01-03	usa	full	nl63	alpha
1023A_2008	KM055634	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
N07_324B_182X	KY554970	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
Kilifi/IP/028/21_Feb_2014	MG356451	seasonal_corona	2014-02-21	kenya	full	nl63	alpha
954A_2008	KM055648	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
HCoVNL63/Tokyo/SGH_15/2017	LC488390	seasonal_corona	2017-XX-XX	japan	full	nl63	alpha
Kilifi/IP/003/20_May_2010	MG356420	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
HCoV_NL63/Haiti_1/2015	KT266906	seasonal_corona	2015-01-16	haiti	full	nl63	alpha
NL63/human/USA/838_9/1983	KF530110	seasonal_corona	1983-08-16	usa	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC0768/2019	MN306040	seasonal_corona	2019-XX-XX	usa	full	nl63	alpha
NL63/DEN/2009/22	JQ900256	seasonal_corona	2009-03-03	usa	full	nl63	alpha
Kilifi/HH/3807/11_May_2010	MG356414	seasonal_corona	2010-05-11	kenya	full	nl63	alpha
