strain	accession	virus	date	country	source	sequence_locus	subtype
NL63/DEN/2010/31	JQ771058	seasonal_corona	2010-12-11	usa	full	nl63	alpha
12MYKL0736	KT359876	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/human/USA/911_56/1991	KF530107	seasonal_corona	1991-01-24	usa	full	nl63	alpha
Kilifi/HH/0512/04_Jun_2010	MG356426	seasonal_corona	2010-06-04	kenya	full	nl63	alpha
ChinaGD04	MK334047	seasonal_corona	2018-07-25	china	full	nl63	alpha
ChinaGD11	MK342130	seasonal_corona	2018-08-15	china	full	nl63	alpha
Kilifi/HH/5402/20_May_2010	MG356419	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
12MYKL1288	KT359904	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63	MF996622	seasonal_corona	2010-XX-XX	australia	full	nl63	alpha
Kilifi_HH_0511_01_Jun_2010	MG428703	seasonal_corona	2010-06-01	kenya	full	nl63	alpha
Kilifi/HH/5401/20_May_2010	MG356421	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
909A_2008	KM055645	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
225A_2007	KM055640	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
12MYKL1350	KT359908	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
Kilifi/IP/014/21_Aug_2012	MG356437	seasonal_corona	2012-08-21	kenya	full	nl63	alpha
NL63/DEN/2010/36	JQ771060	seasonal_corona	2010-12-30	usa	full	nl63	alpha
N07_6B	KY674915	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/DEN/2005/193	JQ765568	seasonal_corona	2005-01-11	usa	full	nl63	alpha
971A_2008	KM055643	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
12MYKL1229	KT359902	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/DEN/2010/28	JQ771057	seasonal_corona	2010-12-03	usa	full	nl63	alpha
HCoVNL63/Tokyo/SGH_24/2018	LC488388	seasonal_corona	2018-XX-XX	japan	full	nl63	alpha
NL63/FRA_EPI/Caen/2005/04	KY862051	seasonal_corona	2005-02-23	france	full	nl63	alpha
NL63/human/USA/891_4/1989	KF530114	seasonal_corona	1989-01-03	usa	full	nl63	alpha
1023A_2008	KM055634	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
12MYKL0943	KT359888	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
N07_324B_182X	KY554970	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
Kilifi/IP/028/21_Feb_2014	MG356451	seasonal_corona	2014-02-21	kenya	full	nl63	alpha
12MYKL1013	KT359893	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
954A_2008	KM055648	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
HCoVNL63/Tokyo/SGH_15/2017	LC488390	seasonal_corona	2017-XX-XX	japan	full	nl63	alpha
Kilifi/IP/003/20_May_2010	MG356420	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
HCoV_NL63/Haiti_1/2015	KT266906	seasonal_corona	2015-01-16	haiti	full	nl63	alpha
NL63/human/USA/838_9/1983	KF530110	seasonal_corona	1983-08-16	usa	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC0768/2019	MN306040	seasonal_corona	2019-XX-XX	usa	full	nl63	alpha
NL63/DEN/2009/22	JQ900256	seasonal_corona	2009-03-03	usa	full	nl63	alpha
12MYKL1002	KT359891	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
Kilifi/HH/3807/11_May_2010	MG356414	seasonal_corona	2010-05-11	kenya	full	nl63	alpha
12MYKL1088	KT359897	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC0179/2018	MN306018	seasonal_corona	2018-XX-XX	usa	full	nl63	alpha
13MYKL1870	KT359912	seasonal_corona	2013-XX-XX	malaysia	full	nl63	alpha
NL63/human/USA/905_25/1990	KF530113	seasonal_corona	1990-05-29	usa	full	nl63	alpha
12MYKL0880	KT359886	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
12MYKL0865	KT359885	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
990A_2008	KM055646	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
12MYKL0779	KT359879	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/FRA_EPI/Caen/2004/02	KY862053	seasonal_corona	2004-12-18	france	full	nl63	alpha
Kilifi/HH/1612/18_May_2010	MG356417	seasonal_corona	2010-05-18	kenya	full	nl63	alpha
NL63/DEN/2010/25	JQ771056	seasonal_corona	2010-12-23	usa	full	nl63	alpha
NL63/human/USA/891_6/1989	KF530108	seasonal_corona	1989-01-05	usa	full	nl63	alpha
180A_2007	KM055638	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
ChinaGD05	MK334045	seasonal_corona	2018-08-14	china	full	nl63	alpha
ChinaGD10	MK342129	seasonal_corona	2018-08-15	china	full	nl63	alpha
NL63/DEN/2009/20	JQ765567	seasonal_corona	2009-03-12	usa	full	nl63	alpha
12MYKL1193	KT359899	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
12MYKL0280	KT359872	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/human/USA/0111_25/2001	KF530112	seasonal_corona	2001-11-21	usa	full	nl63	alpha
236A_2007	KM055641	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
197A_2007	KM055639	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
NL63/DEN/2005/271	JQ765571	seasonal_corona	2005-01-23	usa	full	nl63	alpha
12MYKL0802	KT359881	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/FRA_EPI/Caen/2012/14	KY862041	seasonal_corona	2012-02-17	france	full	nl63	alpha
Kilifi_HH_5402_20_May_2010	MG428704	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
930A_2008	KM055650	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
NL63/DEN/2009/31	JQ900257	seasonal_corona	2009-02-21	usa	full	nl63	alpha
12MYKL1007	KT359892	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
13MYKL1797	KT359911	seasonal_corona	2013-XX-XX	malaysia	full	nl63	alpha
Kilifi/IP/023/18_Jun_2013	MG356446	seasonal_corona	2013-06-18	kenya	full	nl63	alpha
N07_196B	KY554969	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
12MYKL1195	KT359900	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
12MYKL1197	KT359901	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
188A_2007	KM055647	seasonal_corona	2007-XX-XX	china	full	nl63	alpha
1014A_2008	KM055632	seasonal_corona	2008-XX-XX	china	full	nl63	alpha
12MYKL1079	KT359896	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/FRA_EPI/Caen/2015/19	KY862036	seasonal_corona	2015-01-05	france	full	nl63	alpha
Kilifi/HH/0503/04_Jun_2010	MG356425	seasonal_corona	2010-06-04	kenya	full	nl63	alpha
NL63/DEN/2009/15	JQ765565	seasonal_corona	2009-02-13	usa	full	nl63	alpha
Kilifi/IP/022/17_Jun_2013	MG356445	seasonal_corona	2013-06-17	kenya	full	nl63	alpha
12MYKL0809	KT359880	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
N07_468B_176X	KY554971	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
