strain	accession	virus	date	country	source	sequence_locus	subtype
NL63/human/USA/911_56/1991	KF530107	seasonal_corona	1991-01-24	usa	full	nl63	alpha
ChinaGD04	MK334047	seasonal_corona	2018-07-25	china	full	nl63	alpha
Kilifi_HH_0511_01_Jun_2010	MG428703	seasonal_corona	2010-06-01	kenya	full	nl63	alpha
N07_6B	KY674915	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/DEN/2005/193	JQ765568	seasonal_corona	2005-01-11	usa	full	nl63	alpha
NL63/human/USA/891_4/1989	KF530114	seasonal_corona	1989-01-03	usa	full	nl63	alpha
N07_324B_182X	KY554970	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
HCoV_NL63/Haiti_1/2015	KT266906	seasonal_corona	2015-01-16	haiti	full	nl63	alpha
NL63/human/USA/838_9/1983	KF530110	seasonal_corona	1983-08-16	usa	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC0768/2019	MN306040	seasonal_corona	2019-XX-XX	usa	full	nl63	alpha
NL63/DEN/2009/22	JQ900256	seasonal_corona	2009-03-03	usa	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC0179/2018	MN306018	seasonal_corona	2018-XX-XX	usa	full	nl63	alpha
NL63/human/USA/905_25/1990	KF530113	seasonal_corona	1990-05-29	usa	full	nl63	alpha
NL63/human/USA/891_6/1989	KF530108	seasonal_corona	1989-01-05	usa	full	nl63	alpha
ChinaGD05	MK334045	seasonal_corona	2018-08-14	china	full	nl63	alpha
NL63/DEN/2009/20	JQ765567	seasonal_corona	2009-03-12	usa	full	nl63	alpha
NL63/human/USA/0111_25/2001	KF530112	seasonal_corona	2001-11-21	usa	full	nl63	alpha
NL63/DEN/2005/271	JQ765571	seasonal_corona	2005-01-23	usa	full	nl63	alpha
Kilifi_HH_5402_20_May_2010	MG428704	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
NL63/DEN/2009/31	JQ900257	seasonal_corona	2009-02-21	usa	full	nl63	alpha
N07_196B	KY554969	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/DEN/2009/15	JQ765565	seasonal_corona	2009-02-13	usa	full	nl63	alpha
N07_468B_176X	KY554971	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
CN0601/14	MG772808	seasonal_corona	2014-11-25	south_korea	full	nl63	alpha
CBJ_037	JX104161	seasonal_corona	2008-11-04	china	full	nl63	alpha
NL63/DEN/2008/16	JQ765566	seasonal_corona	2008-01-08	usa	full	nl63	alpha
Kilifi_HH_5709_19_May_2010	MG428699	seasonal_corona	2010-05-19	kenya	full	nl63	alpha
NL63/human/USA/904_20/1990	KF530104	seasonal_corona	1990-04-26	usa	full	nl63	alpha
N07_64B	KY674916	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
Kilifi_HH_1602_01_Jun_2010	MG428700	seasonal_corona	2010-06-01	kenya	full	nl63	alpha
NL63/UF_1/2015	KT381875	seasonal_corona	2015-XX-XX	usa	full	nl63	alpha
Kilifi_HH_0512_04_Jun_2010	MG428701	seasonal_corona	2010-06-04	kenya	full	nl63	alpha
HCoV_NL63/Seattle/USA/SC2940/2015	KY983586	seasonal_corona	2015-XX-XX	usa	full	nl63	alpha
N07_185B	KY554968	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/DEN/2005/1062	JQ765573	seasonal_corona	2005-04-12	usa	full	nl63	alpha
ChinaGD02	MK334043	seasonal_corona	2018-08-15	china	full	nl63	alpha
N07_262B	KY829118	seasonal_corona	2015-XX-XX	usa	full	nl63	alpha
Kilifi_HH_3807_11_May_2010	MG428702	seasonal_corona	2010-05-11	kenya	full	nl63	alpha
NL63/human/USA/903_28/1990	KF530109	seasonal_corona	1990-03-21	usa	full	nl63	alpha
NL63/RPTEC/2004	JX504050	seasonal_corona	2004-XX-XX	usa	full	nl63	alpha
ChinaGD01	KT006149	seasonal_corona	2018-09-01	china	full	nl63	alpha
NL63/UF_2/2015	KX179500	seasonal_corona	2015-09-01	usa	full	nl63	alpha
NL63/DEN/2005/235	JQ765570	seasonal_corona	2005-01-19	usa	full	nl63	alpha
NL63/DEN/2005/1862	JQ765574	seasonal_corona	2005-11-XX	usa	full	nl63	alpha
NL63/DEN/2005/232	JQ765569	seasonal_corona	2005-01-18	usa	full	nl63	alpha
NL63/DEN/2009/14	JQ765564	seasonal_corona	2009-03-01	usa	full	nl63	alpha
NL63/DEN/2009/9	JQ765563	seasonal_corona	2009-03-16	usa	full	nl63	alpha
N06_1144B	KY554967	seasonal_corona	2016-XX-XX	usa	full	nl63	alpha
NL63/human/USA/901_24/1990	KF530111	seasonal_corona	1990-01-05	usa	full	nl63	alpha
NL63/DEN/2005/449	JQ900259	seasonal_corona	2005-02-09	usa	full	nl63	alpha
NL63/DEN/2009/6	JQ900255	seasonal_corona	2009-02-25	usa	full	nl63	alpha
Kilifi_HH_3808_24_May_2010	MG428706	seasonal_corona	2010-05-24	kenya	full	nl63	alpha
NL63_KLF_01_2018	MN026166	seasonal_corona	2018-01-29	kenya	full	nl63	alpha
NL63/human/USA/012_31/2001	KF530105	seasonal_corona	2001-02-23	usa	full	nl63	alpha
NL63/human/USA/8712_17/1987	KF530106	seasonal_corona	1987-12-16	usa	full	nl63	alpha
Kilifi_HH_0522_21_May_2010	MG428705	seasonal_corona	2010-05-21	kenya	full	nl63	alpha
Kilifi_HH_5401_20_May_2010	MG428707	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
CBJ123	JX524171	seasonal_corona	2009-01-24	china	full	nl63	alpha
NL63/DEN/2005/1876	JQ765575	seasonal_corona	2005-11-21	usa	full	nl63	alpha
NL63/DEN/2005/1120	JQ900260	seasonal_corona	2005-04-25	usa	full	nl63	alpha
NL63/DEN/2005/347	JQ765572	seasonal_corona	2005-02-01	usa	full	nl63	alpha
ChinaGD03	MK334044	seasonal_corona	2018-07-13	china	full	nl63	alpha
NL63/DEN/2005/291	JQ900258	seasonal_corona	2005-01-26	usa	full	nl63	alpha
