strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
229e/AF304460/229e_ref/Germany/2000	AF304460	229e_ref	2000-XX-XX	Human	Germany	Human_coronavirus_229e	229e	alpha	full
nl63/KM055607/1014A_2008/2008	KM055607	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055608/1023A_2008/2008	KM055608	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055609/1093A_2008/2008	KM055609	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359829/12MYKL0280/2012	KT359829	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359830/12MYKL0482/2012	KT359830	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359831/12MYKL0630/2012	KT359831	12MYKL0630	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359832/12MYKL0719/2012	KT359832	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359833/12MYKL0730/2012	KT359833	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359834/12MYKL0736/2012	KT359834	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359835/12MYKL0750/2012	KT359835	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359836/12MYKL0779/2012	KT359836	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359837/12MYKL0780/2012	KT359837	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359838/12MYKL0802/2012	KT359838	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359839/12MYKL0809/2012	KT359839	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359840/12MYKL0813/2012	KT359840	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359841/12MYKL0862/2012	KT359841	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359842/12MYKL0863/2012	KT359842	12MYKL0863	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359843/12MYKL0865/2012	KT359843	12MYKL0865	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359844/12MYKL0880/2012	KT359844	12MYKL0880	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359845/12MYKL0903/2012	KT359845	12MYKL0903	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359846/12MYKL0943/2012	KT359846	12MYKL0943	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359847/12MYKL0964/2012	KT359847	12MYKL0964	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359848/12MYKL0967/2012	KT359848	12MYKL0967	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359849/12MYKL1002/2012	KT359849	12MYKL1002	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359850/12MYKL1007/2012	KT359850	12MYKL1007	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359851/12MYKL1013/2012	KT359851	12MYKL1013	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359852/12MYKL1055/2012	KT359852	12MYKL1055	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359853/12MYKL1064/2012	KT359853	12MYKL1064	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359854/12MYKL1079/2012	KT359854	12MYKL1079	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359855/12MYKL1088/2012	KT359855	12MYKL1088	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359856/12MYKL1089/2012	KT359856	12MYKL1089	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359857/12MYKL1193/2012	KT359857	12MYKL1193	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359858/12MYKL1195/2012	KT359858	12MYKL1195	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359859/12MYKL1197/2012	KT359859	12MYKL1197	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359860/12MYKL1229/2012	KT359860	12MYKL1229	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359861/12MYKL1238/2012	KT359861	12MYKL1238	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359862/12MYKL1253/2012	KT359862	12MYKL1253	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359863/12MYKL1288/2012	KT359863	12MYKL1288	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359864/12MYKL1336/2012	KT359864	12MYKL1336	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359865/12MYKL1337/2012	KT359865	12MYKL1337	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359866/12MYKL1350/2012	KT359866	12MYKL1350	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359867/12MYKL1528/2012	KT359867	12MYKL1528	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359868/13MYKL1791/2013	KT359868	13MYKL1791	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359869/13MYKL1797/2013	KT359869	13MYKL1797	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359870/13MYKL1870/2013	KT359870	13MYKL1870	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KT359871/13MYKL2005/2013	KT359871	13MYKL2005	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055591/180A_2007/2007	KM055591	180A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055592/188A_2007/2007	KM055592	188A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055593/197A_2007/2007	KM055593	197A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055610/2093A_2010/2010	KM055610	2093A_2010	2010-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055594/225A_2007/2007	KM055594	225A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
nl63/KM055595/236A_2007/2007	KM055595	236A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
