strain	accession	virus	date	country	source	sequence_locus	subtype
HKU1/human/USA/HKU1_14/2009_he	KF430199_he	seasonal_corona	2009-12-28	usa	he	hku1	beta
HKU1/human/USA/HKU1_13/2010_he	KF686343_he	seasonal_corona	2010-01-08	usa	he	hku1	beta
HKU1/human/USA/HKU1_20/2010_he	KF686345_he	seasonal_corona	2010-01-30	usa	he	hku1	beta
N09_1663B_he	KY674941_he	seasonal_corona	2016-XX-XX	usa	he	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_22/2007_he	KF430197_he	seasonal_corona	2007-XX-XX	brazil	he	hku1	beta
HKU1/human/USA/HKU1_15/2009_he	KF686344_he	seasonal_corona	2009-12-28	usa	he	hku1	beta
Caen1_he	HM034837_he	seasonal_corona	2005-03-04	france	he	hku1	beta
HKU1/human/USA/HKU1_7/2010_he	KF430202_he	seasonal_corona	2010-01-03	usa	he	hku1	beta
N09_1627B_he	KY674942_he	seasonal_corona	2016-XX-XX	usa	he	hku1	beta
HKU1/human/USA/HKU1_12/2010_he	KF686346_he	seasonal_corona	2010-01-09	usa	he	hku1	beta
HKU1/human/USA/HKU1_10/2010_he	KF686341_he	seasonal_corona	2010-01-16	usa	he	hku1	beta
HKU1/human/USA/HKU1_1/2005_he	KF686338_he	seasonal_corona	2005-02-18	usa	he	hku1	beta
N08_87_he	KY674921_he	seasonal_corona	2016-XX-XX	usa	he	hku1	beta
HKU1_he	AY597011_he	seasonal_corona	?	usa	he	hku1	beta
SC2521_he	MK167038_he	seasonal_corona	2017-XX-XX	usa	he	hku1	beta
HKU1/human/USA/HKU1_16/2010_he	KF430200_he	seasonal_corona	2010-01-08	usa	he	hku1	beta
HKU1/human/USA/HKU1_3/2009_he	KF686339_he	seasonal_corona	2009-10-31	usa	he	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_23/2006_he	KF430203_he	seasonal_corona	2006-XX-XX	brazil	he	hku1	beta
HKU1/human/USA/HKU1_5/2009_he	KF686340_he	seasonal_corona	2009-11-28	usa	he	hku1	beta
N09_1605B_he	KY674943_he	seasonal_corona	2016-XX-XX	usa	he	hku1	beta
SC2628_he	KY983584_he	seasonal_corona	2015-XX-XX	usa	he	hku1	beta
HKU1/human/USA/HKU1_11/2009_he	KF686342_he	seasonal_corona	2009-12-13	usa	he	hku1	beta
BJ01_p3_he	KT779555_he	seasonal_corona	2009-04-23	china	he	hku1	beta
HKU1/human/USA/HKU1_18/2010_he	KF430201_he	seasonal_corona	2010-01-22	usa	he	hku1	beta
BJ01_p9_he	KT779556_he	seasonal_corona	2009-04-23	china	he	hku1	beta
HKU1/human/USA/HKU1_4/2005_he	KF430196_he	seasonal_corona	2005-04-19	usa	he	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_21/2006_he	KF430198_he	seasonal_corona	2006-XX-XX	brazil	he	hku1	beta
SI17244_he	MH940245_he	seasonal_corona	2017-06-04	thailand	he	hku1	beta
