strain	accession	virus	date	country	source	sequence_locus	subtype
HCoV_OC43/Yamagata.JPN/08.2015_0434_spike	LC506911_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Seattle/USA/SC9428/2018_spike	MN310476_spike	seasonal_corona	2019-XX-XX	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/06.2015_0303_spike	LC506897_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/11.2017_0634_spike	LC506938_spike	seasonal_corona	2017-03-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/10.2013_0627_spike	LC506822_spike	seasonal_corona	2013-03-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/08.2015_0433_spike	LC506910_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/06.2015_0290_spike	LC506891_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/04.2015_0154_spike	LC506863_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Seattle/USA/SC2924/2015_spike	KY967356_spike	seasonal_corona	2015-XX-XX	usa	spike	oc43	beta
HCoV_OC43/UK/London/2011_spike	KU131570_spike	seasonal_corona	2011-08-20	united_kingdom	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/07.2015_0353_spike	LC506899_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
OC43/human/USA/931_85/1993_spike	KF530090_spike	seasonal_corona	1993-01-26	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/11.2017_0521_spike	LC506937_spike	seasonal_corona	2017-03-XX	japan	spike	oc43	beta
OC43/human/USA/901_41/1990_spike	KF530065_spike	seasonal_corona	1990-01-17	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/03.2015_0088_spike	LC506847_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/04.2015_0211_spike	LC506869_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
OC43/human/USA/873_19/1987_spike	KF530083_spike	seasonal_corona	1987-03-17	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/08.2017_0375_spike	LC506929_spike	seasonal_corona	2017-02-XX	japan	spike	oc43	beta
OC43/human/Mex/LRTI_238/2011_spike	KX344031_spike	seasonal_corona	2011-02-09	mexico	spike	oc43	beta
OC43/human/USA/982_4/1998_spike	KF530069_spike	seasonal_corona	1998-02-05	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/46.2010_2512_spike	LC506783_spike	seasonal_corona	2010-11-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/07.2015_0417_spike	LC506906_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/05.2015_0215_spike	LC506871_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/05.2015_0232_spike	LC506881_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/06.2017_0266_spike	LC506919_spike	seasonal_corona	2017-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/07.2014_0446_spike	LC506838_spike	seasonal_corona	2014-02-XX	japan	spike	oc43	beta
OC43/human/USA/912_6/1991_spike	KF530095_spike	seasonal_corona	1991-02-05	usa	spike	oc43	beta
OC43/human/USA/873_6/1987_spike	KF530087_spike	seasonal_corona	1987-03-05	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/05.2013_0300_spike	LC506816_spike	seasonal_corona	2013-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/08.2014_0435_spike	LC506836_spike	seasonal_corona	2014-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/20.2010_1337_spike	LC506769_spike	seasonal_corona	2010-05-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/10.2017_0491_spike	LC506951_spike	seasonal_corona	2017-03-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/11.2015_0604_spike	LC506914_spike	seasonal_corona	2015-03-XX	japan	spike	oc43	beta
OC43/human/USA/9612_9/1996_spike	KF530064_spike	seasonal_corona	1996-12-04	usa	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/14.2017_0959_spike	LC506942_spike	seasonal_corona	2017-04-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/05.15_0234_spike	LC331073_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/07.2017_0362_spike	LC506927_spike	seasonal_corona	2017-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/11.2013_0666_spike	LC506823_spike	seasonal_corona	2013-03-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/03.2010_0241_spike	LC506767_spike	seasonal_corona	2010-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/08.2014_0434_spike	LC506835_spike	seasonal_corona	2014-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/12.2017_0640_spike	LC506939_spike	seasonal_corona	2017-03-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/52.2012_2586_spike	LC506813_spike	seasonal_corona	2012-12-XX	japan	spike	oc43	beta
HCoV_OC43/FRA_EPI/Caen/2002/04_spike	KF963233_spike	seasonal_corona	2002-02-21	france	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/04.2015_0137_spike	LC506856_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/21.2011_1236_spike	LC506798_spike	seasonal_corona	2011-05-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/03.2014_0174_spike	LC506824_spike	seasonal_corona	2014-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/06.15_0350_spike	LC331075_spike	seasonal_corona	2015-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/04.2015_0144_spike	LC506859_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/04.2015_0142_spike	LC506858_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/26.16_1046_spike	LC331092_spike	seasonal_corona	2016-06-XX	japan	spike	oc43	beta
HCoV_OC43/FRA_EPI/Caen/2008/10_spike	KF963239_spike	seasonal_corona	2008-01-17	france	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/39.2010_2197_spike	LC506773_spike	seasonal_corona	2010-10-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/03.2015_0130_spike	LC506852_spike	seasonal_corona	2015-01-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/06.2012_0291_spike	LC506804_spike	seasonal_corona	2012-02-XX	japan	spike	oc43	beta
HCoV_OC43/Yamagata.JPN/24.16_1027_spike	LC331087_spike	seasonal_corona	2016-06-XX	japan	spike	oc43	beta
OC43/human/USA/8912_37/1989_spike	KF530073_spike	seasonal_corona	1989-12-21	usa	spike	oc43	beta
