Map from character to field name
A:	australia
B:	china
C:	france
D:	haiti
E:	japan
F:	kenya
G:	malaysia
H:	south_korea
I:	thailand
J:	usa
K:	?


Substitution rate (mu): 45.157502

Equilibrium frequencies (pi_i):
  A: 0.1113
  B: 0.06
  C: 0.0992
  D: 0.1093
  E: 0.1009
  F: 0.1187
  G: 0.1045
  H: 0.1127
  I: 0.102
  J: 0.0815

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.7606	0.7753	0.7711	0.7718	0.7757	1.1604	0.9963	0.7715	0.7587
  B	0.7606	0	2.2881	0.9355	1.1783	1.659	1.0732	0.7601	1.2741	6.6906
  C	0.7753	2.2881	0	1.0977	0.7708	2.8302	1.0548	0.7709	0.7707	3.9205
  D	0.7711	0.9355	1.0977	0	0.771	0.7687	0.7681	0.771	0.7708	1.0577
  E	0.7718	1.1783	0.7708	0.771	0	0.7683	0.7685	0.7717	0.7715	1.154
  F	0.7757	1.659	2.8302	0.7687	0.7683	0	1.8168	0.7705	0.768	1.4896
  G	1.1604	1.0732	1.0548	0.7681	0.7685	1.8168	0	0.9677	0.7679	1.7273
  H	0.9963	0.7601	0.7709	0.771	0.7717	0.7705	0.9677	0	0.7715	0.758
  I	0.7715	1.2741	0.7707	0.7708	0.7715	0.768	0.7679	0.7715	0	1.0241
  J	0.7587	6.6906	3.9205	1.0577	1.154	1.4896	1.7273	0.758	1.0241	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0846	0.0863	0.0858	0.0859	0.0863	0.1291	0.1108	0.0858	0.0844
  B	0.0456	0	0.1372	0.0561	0.0707	0.0995	0.0644	0.0456	0.0764	0.4013
  C	0.0769	0.227	0	0.1089	0.0765	0.2808	0.1047	0.0765	0.0765	0.389
  D	0.0843	0.1023	0.12	0	0.0843	0.084	0.084	0.0843	0.0843	0.1156
  E	0.0779	0.1189	0.0778	0.0778	0	0.0775	0.0775	0.0779	0.0778	0.1164
  F	0.0921	0.197	0.336	0.0913	0.0912	0	0.2157	0.0915	0.0912	0.1769
  G	0.1213	0.1122	0.1102	0.0803	0.0803	0.1899	0	0.1011	0.0803	0.1805
  H	0.1123	0.0856	0.0869	0.0869	0.087	0.0868	0.109	0	0.0869	0.0854
  I	0.0787	0.1299	0.0786	0.0786	0.0787	0.0783	0.0783	0.0787	0	0.1044
  J	0.0618	0.545	0.3194	0.0862	0.094	0.1213	0.1407	0.0617	0.0834	0
