strain	accession	virus	date	country	source	sequence_locus	subtype
HCoV_229E/Seattle/USA/SC1073/2016	KY369913	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
1060_Yamagata_2010	LC005741	seasonal_corona	2010-XX-XX	japan	full	229e	alpha
J0304	JX503061	seasonal_corona	2009-XX-XX	italy	full	229e	alpha
SWE_10724/04	FJ235174	seasonal_corona	2004-03-XX	sweden	full	229e	alpha
PUMCH8425	HM130814	seasonal_corona	2009-04-29	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC1143/2016	KY369910	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
SWE_10697/04	FJ235173	seasonal_corona	2004-03-XX	sweden	full	229e	alpha
PUMCH8373	HM130812	seasonal_corona	2009-04-15	china	full	229e	alpha
HCOV/KENYA/006/2009	KP112148	seasonal_corona	2014-07-01	kenya	full	229e	alpha
PUMCH7980	HM130809	seasonal_corona	2009-01-06	china	full	229e	alpha
PUMCH8348	HM130811	seasonal_corona	2009-04-10	china	full	229e	alpha
12MYKL0367	KT359758	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
HCoV_229E/Seattle/USA/SC579/2016	KY369908	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/human/GER/1812/2010	KT253307	seasonal_corona	2010-XX-XX	germany	full	229e	alpha
PUMCH902	HM130805	seasonal_corona	2005-10-12	china	full	229e	alpha
12MYKL0126	KT359756	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
PUMCH898	HM130804	seasonal_corona	2005-10-12	china	full	229e	alpha
HCoV_229E/human/GHA/860/2008	KT253314	seasonal_corona	2008-XX-XX	ghana	full	229e	alpha
HCoV_229E/human/GER/645/2010	KT253312	seasonal_corona	2010-XX-XX	germany	full	229e	alpha
HCoV_229E/human/HKG/HK_2_26B/2002	KT253319	seasonal_corona	2002-XX-XX	hong_kong	full	229e	alpha
Arbial_2019	MN086824	seasonal_corona	2019-02-24	iraq	full	229e	alpha
PUMCH746	HM130800	seasonal_corona	2005-09-24	china	full	229e	alpha
HCoV_229E/human/GBR/KI/1975	KT253300	seasonal_corona	1975-XX-XX	united_kingdom	full	229e	alpha
2981A_2011	KM055550	seasonal_corona	2011-XX-XX	china	full	229e	alpha
2861A_2011	KM055548	seasonal_corona	2011-XX-XX	china	full	229e	alpha
HCoV_229E/human/GER/373/2011	KT253308	seasonal_corona	2011-XX-XX	germany	full	229e	alpha
12MYKL0106	KT359755	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
12MYKL0335	KT359757	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
229E	KF293666	seasonal_corona	2011-12-13	thailand	full	229e	alpha
HCoV_229E/Seattle/USA/SC9731/2016	KY369912	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
TN93_3_40	KM077070	seasonal_corona	?	usa	full	229e	alpha
PUMCH857	HM130802	seasonal_corona	2005-10-07	china	full	229e	alpha
1827A_2010	KM055541	seasonal_corona	2010-XX-XX	china	full	229e	alpha
12MYKL1586	KT359765	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
693A_2008	KM055556	seasonal_corona	2008-XX-XX	china	full	229e	alpha
HCoV_229E/human/GER/1551/2010	KT253306	seasonal_corona	2010-XX-XX	germany	full	229e	alpha
8339_2009	KM055545	seasonal_corona	2009-XX-XX	china	full	229e	alpha
SWE_37253/06	FJ235177	seasonal_corona	2006-03-XX	sweden	full	229e	alpha
8348_2009	KM055558	seasonal_corona	2009-XX-XX	china	full	229e	alpha
12MYKL0052	KT359754	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
HCoV_229E/human/GBR/LP/1963	KT253301	seasonal_corona	1963-XX-XX	united_kingdom	full	229e	alpha
hCoV/229E/VFC408/BRA/2007	JN251802	seasonal_corona	2007-XX-XX	brazil	full	229e	alpha
1658A_2009	KM055536	seasonal_corona	2009-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC1212/2016	KY369911	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
SH_8	KC294434	seasonal_corona	2012-XX-XX	china	full	229e	alpha
229E/human/USA/933_40/1993	KF514433	seasonal_corona	1993-03-11	usa	full	229e	alpha
13MYKL1978	KT359751	seasonal_corona	2013-XX-XX	malaysia	full	229e	alpha
2961A_2011	KM055549	seasonal_corona	2011-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC379/2016	KY621348	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/human/GER/1337/2010	KT253305	seasonal_corona	2010-XX-XX	germany	full	229e	alpha
HCoV_229E/human/HKG/HK_7_6/2004	KT253322	seasonal_corona	2004-XX-XX	hong_kong	full	229e	alpha
HCOV/KENYA/002/2012	KP112147	seasonal_corona	2014-07-01	kenya	full	229e	alpha
HCoV_229E/Seattle/USA/SC677/2016	KY369909	seasonal_corona	2016-XX-XX	usa	full	229e	alpha
HCoV_229E/human/GHA/997/2008	KT253317	seasonal_corona	2008-XX-XX	ghana	full	229e	alpha
423A_2007	KM055552	seasonal_corona	2007-XX-XX	china	full	229e	alpha
QPID04_0033	JQ732182	seasonal_corona	2004-07-17	australia	full	229e	alpha
12MYKL1616	KT359766	seasonal_corona	2012-XX-XX	malaysia	full	229e	alpha
PUMCH873	HM130803	seasonal_corona	2005-10-09	china	full	229e	alpha
229E/human/USA/932_72/1993	KF514432	seasonal_corona	1993-02-22	usa	full	229e	alpha
1781A_2010	KM055539	seasonal_corona	2010-XX-XX	china	full	229e	alpha
HCoV_229E/Seattle/USA/SC2872/2015	KY967357	seasonal_corona	2015-XX-XX	usa	full	229e	alpha
756_Yamagata_2010	LC005737	seasonal_corona	2010-XX-XX	japan	full	229e	alpha
CU_H2896/2011	JX513211	seasonal_corona	2011-01-13	thailand	full	229e	alpha
SH_5	KC294431	seasonal_corona	2012-XX-XX	china	full	229e	alpha
