strain	accession	virus	date	country	source	sequence_locus	subtype
N08_434B_spike	KY674919_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC2872/2015_spike	KY967357_spike	seasonal_corona	2015-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC579/2016_spike	KY369908_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
229E/human/USA/933_50/1993_spike	KF514430_spike	seasonal_corona	1993-03-18	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC1143/2016_spike	KY369910_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC3112/2015_spike	KY983587_spike	seasonal_corona	2015-XX-XX	usa	spike	229e	alpha
J0304_spike	JX503061_spike	seasonal_corona	2009-XX-XX	italy	spike	229e	alpha
229E/human/USA/932_72/1993_spike	KF514432_spike	seasonal_corona	1993-02-22	usa	spike	229e	alpha
HCoV_229E/BN1/GER/2015_spike	KU291448_spike	seasonal_corona	2015-XX-XX	germany	spike	229e	alpha
HCoV_229E/Seattle/USA/SC2282/2017_spike	KY684760_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC1073/2016_spike	KY369913_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC9731/2016_spike	KY369912_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC379/2016_spike	KY621348_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC0865/2019_spike	MN306046_spike	seasonal_corona	2019-XX-XX	usa	spike	229e	alpha
229E/Haiti_1/2016_spike	MF542265_spike	seasonal_corona	2016-03-XX	haiti	spike	229e	alpha
HCoV_229E/Seattle/USA/SC677/2016_spike	KY369909_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
229E_spike	KF293666_spike	seasonal_corona	?	thailand	spike	229e	alpha
HCoV_229E/Seattle/USA/SC9773/2016_spike	KY369914_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC1212/2016_spike	KY369911_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
229E/human/USA/892_11/1989_spike	KF514429_spike	seasonal_corona	1989-02-07	usa	spike	229e	alpha
0349_spike	JX503060_spike	seasonal_corona	2010-XX-XX	netherlands	spike	229e	alpha
229E/human/USA/953_49/1995_spike	KF514431_spike	seasonal_corona	1995-03-23	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC399/2016_spike	KY674914_spike	seasonal_corona	2016-XX-XX	usa	spike	229e	alpha
HCoV_229E/Seattle/USA/SC9724/2018_spike	MN369046_spike	seasonal_corona	2018-XX-XX	usa	spike	229e	alpha
229E/human/USA/933_40/1993_spike	KF514433_spike	seasonal_corona	1993-03-11	usa	spike	229e	alpha
