strain	accession	virus	date	country	source	sequence_locus	subtype
BJ8081	DQ846901	seasonal_corona	?	china	full	nl63	alpha
TN93_10_23	KM077074	seasonal_corona	?	usa	full	nl63	alpha
Athens.GR/73/07	KX866388	seasonal_corona	2007-01-05	greece	full	nl63	alpha
CU_682	GQ856807	seasonal_corona	2006-XX-XX	hong_kong	full	nl63	alpha
HCoV/NL63/N01	GU068568	seasonal_corona	2006-12-04	china	full	nl63	alpha
NL63/DEN/2010/31	JQ771058	seasonal_corona	2010-12-11	usa	full	nl63	alpha
12MYKL0736	KT359876	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63/human/USA/911_56/1991	KF530107	seasonal_corona	1991-01-24	usa	full	nl63	alpha
TN92_5_25	KM077086	seasonal_corona	?	usa	full	nl63	alpha
HCOV/KENYA/003/2009	KP112153	seasonal_corona	2014-07-01	kenya	full	nl63	alpha
Kilifi/HH/0512/04_Jun_2010	MG356426	seasonal_corona	2010-06-04	kenya	full	nl63	alpha
ChinaGD04	MK334047	seasonal_corona	2018-07-25	china	full	nl63	alpha
ChinaGD11	MK342130	seasonal_corona	2018-08-15	china	full	nl63	alpha
Kilifi/HH/5402/20_May_2010	MG356419	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
V110138	FJ656174	seasonal_corona	2007-03-XX	sweden	full	nl63	alpha
12MYKL1288	KT359904	seasonal_corona	2012-XX-XX	malaysia	full	nl63	alpha
NL63	MF996622	seasonal_corona	2010-XX-XX	australia	full	nl63	alpha
CU_U0348	GQ856812	seasonal_corona	2005-XX-XX	hong_kong	full	nl63	alpha
CU_616	GQ856803	seasonal_corona	2006-XX-XX	hong_kong	full	nl63	alpha
Kilifi_HH_0511_01_Jun_2010	MG428703	seasonal_corona	2010-06-01	kenya	full	nl63	alpha
Kilifi/HH/5401/20_May_2010	MG356421	seasonal_corona	2010-05-20	kenya	full	nl63	alpha
GS05_2009	KM055630	seasonal_corona	2009-XX-XX	china	full	nl63	alpha
