strain	accession	virus	date	country	source	sequence_locus	subtype
OC43/human/USA/9612_9/1996_he	KF530064_he	seasonal_corona	1996-12-04	usa	he	oc43	beta
OC43/human/USA/9612_48/1996_he	KF530063_he	seasonal_corona	1996-12-30	usa	he	oc43	beta
OC43/human/USA/911_66/1991_he	KF530089_he	seasonal_corona	1991-01-29	usa	he	oc43	beta
OC43/human/USA/872_5/1987_he	KF530086_he	seasonal_corona	1987-02-10	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC831/2016_he	KY369905_he	seasonal_corona	2016-XX-XX	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC0776/2019_he	MN310478_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
OC43/human/USA/911_11/1991_he	KF530076_he	seasonal_corona	1991-01-03	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC3118/2015_he	KY983588_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
HCoV_OC43/UK/London/2011_he	KU131570_he	seasonal_corona	2011-08-20	united_kingdom	he	oc43	beta
OC43/human/USA/952_23/1995_he	KF530062_he	seasonal_corona	1995-02-13	usa	he	oc43	beta
OC43/human/USA/911_38/1991_he	KF530096_he	seasonal_corona	1991-01-15	usa	he	oc43	beta
OC43/human/USA/925_1/1992_he	KF530071_he	seasonal_corona	1992-05-04	usa	he	oc43	beta
HCoV_OC43/USA/TCNP_00204/2017_he	MF374984_he	seasonal_corona	2017-01-03	usa	he	oc43	beta
OC43/human/USA/991_5/1999_he	KF530081_he	seasonal_corona	1999-01-07	usa	he	oc43	beta
OC43/human/USA/901_33/1990_he	KF530066_he	seasonal_corona	1990-01-16	usa	he	oc43	beta
OC43/human/USA/007_11/2000_he	KF530068_he	seasonal_corona	2000-07-27	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC0682/2019_he	MN306036_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2476/2015_he	KY967360_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
OC43/human/USA/982_4/1998_he	KF530069_he	seasonal_corona	1998-02-05	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2770/2015_he	KY967358_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
OC43/human/USA/9212_33/1992_he	KF530074_he	seasonal_corona	1992-12-16	usa	he	oc43	beta
OC43/human/USA/9612_29/1996_he	KF530078_he	seasonal_corona	1996-12-17	usa	he	oc43	beta
HCoV_OC43/USA/TCNP_0070/2016_he	MF374983_he	seasonal_corona	2016-02-01	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2345/2015_he	KY967361_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC9741/2016_he	KY369907_he	seasonal_corona	2016-XX-XX	usa	he	oc43	beta
HCoV_OC43/USA/ACRI_0213/2016_he	MH121121_he	seasonal_corona	2016-12-19	usa	he	oc43	beta
OC43/human/USA/873_16/1987_he	KF530077_he	seasonal_corona	1987-03-12	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC0839/2019_he	MN306042_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
OC43/human/USA/971_5/1997_he	KF530099_he	seasonal_corona	1997-01-02	usa	he	oc43	beta
OC43/human/USA/008_5/2000_he	KF530092_he	seasonal_corona	2000-08-08	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC9430/2018_he	MN306053_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
OC43/human/USA/901_41/1990_he	KF530065_he	seasonal_corona	1990-01-17	usa	he	oc43	beta
OC43/human/USA/8912_37/1989_he	KF530073_he	seasonal_corona	1989-12-21	usa	he	oc43	beta
OC43_KLF_01_2018_he	MN026164_he	seasonal_corona	2018-01-18	kenya	he	oc43	beta
OC43/human/USA/912_36/1991_he	KF530094_he	seasonal_corona	1991-02-22	usa	he	oc43	beta
OC43/human/USA/912_10/1991_he	KF530067_he	seasonal_corona	1991-02-07	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2924/2015_he	KY967356_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
OC43/human/USA/913_29/1991_he	KF530079_he	seasonal_corona	1991-03-14	usa	he	oc43	beta
OC43/human/USA/873_6/1987_he	KF530087_he	seasonal_corona	1987-03-05	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC0841/2019_he	MN306043_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
OC43/human/USA/901_43/1990_he	KF530061_he	seasonal_corona	1990-01-19	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2481/2015_he	KY983583_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
OC43/human/USA/873_19/1987_he	KF530083_he	seasonal_corona	1987-03-17	usa	he	oc43	beta
OC43/human/USA/9712_13/1997_he	KF530072_he	seasonal_corona	1997-12-11	usa	he	oc43	beta
OC43/human/Mex/LRTI_238/2011_he	KX344031_he	seasonal_corona	2011-02-09	mexico	he	oc43	beta
OC43/human/USA/931_85/1993_he	KF530090_he	seasonal_corona	1993-01-26	usa	he	oc43	beta
OC43/human/USA/965_6/1996_he	KF530098_he	seasonal_corona	1996-05-10	usa	he	oc43	beta
OC43/human/USA/901_54/1990_he	KF530088_he	seasonal_corona	1990-01-23	usa	he	oc43	beta
OC43/human/USA/912_6/1991_he	KF530095_he	seasonal_corona	1991-02-05	usa	he	oc43	beta
OC43/human/USA/951_18/1995_he	KF530084_he	seasonal_corona	1995-01-12	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC622/2016_he	KY369906_he	seasonal_corona	2016-XX-XX	usa	he	oc43	beta
OC43/human/USA/953_23/1995_he	KF530075_he	seasonal_corona	1995-03-09	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC0810/2019_he	MN306041_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
HCoV_OC43/USA/TCNP_00212/2017_he	MF374985_he	seasonal_corona	2017-01-17	usa	he	oc43	beta
OC43_KLF_02_2017_he	MN026165_he	seasonal_corona	2017-11-27	kenya	he	oc43	beta
OC43/human/USA/991_19/1999_he	KF530070_he	seasonal_corona	1999-01-15	usa	he	oc43	beta
OC43/human/USA/9211_43/1992_he	KF530097_he	seasonal_corona	1992-11-30	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2730/2015_he	KY967359_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2269/2016_he	KY684759_he	seasonal_corona	2016-XX-XX	usa	he	oc43	beta
OC43/human/USA/9712_31/1997_he	KF530080_he	seasonal_corona	1997-12-18	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC9428/2018_he	MN310476_he	seasonal_corona	2019-XX-XX	usa	he	oc43	beta
OC43/human/USA/911_58/1991_he	KF530091_he	seasonal_corona	1991-01-24	usa	he	oc43	beta
HCoV_OC43/Seattle/USA/SC2854/2015_he	KY983585_he	seasonal_corona	2015-XX-XX	usa	he	oc43	beta
HCoV_OC43/USA/ACRI_0052/2016_he	MF314143_he	seasonal_corona	2016-03-07	usa	he	oc43	beta
OC43/human/USA/951_15/1995_he	KF530059_he	seasonal_corona	1995-01-11	usa	he	oc43	beta
OC43/human/USA/871_25/1987_he	KF530085_he	seasonal_corona	1987-01-22	usa	he	oc43	beta
OC43/human/USA/832_27/1983_he	KF530093_he	seasonal_corona	1983-02-24	usa	he	oc43	beta
OC43/human/USA/851_15/1985_he	KF530060_he	seasonal_corona	1985-01-08	usa	he	oc43	beta
