strain	accession	virus	date	country	source	sequence_locus	subtype
SC2628_spike	KY983584_spike	seasonal_corona	2015-XX-XX	usa	spike	hku1	beta
HKU1/human/USA/HKU1_5/2009_spike	KF686340_spike	seasonal_corona	2009-11-28	usa	spike	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_22/2007_spike	KF430197_spike	seasonal_corona	2007-XX-XX	brazil	spike	hku1	beta
HKU1/human/USA/HKU1_7/2010_spike	KF430202_spike	seasonal_corona	2010-01-03	usa	spike	hku1	beta
HKU1/human/USA/HKU1_10/2010_spike	KF686341_spike	seasonal_corona	2010-01-16	usa	spike	hku1	beta
SI17244_spike	MH940245_spike	seasonal_corona	2017-06-04	thailand	spike	hku1	beta
N08_87_spike	KY674921_spike	seasonal_corona	2016-XX-XX	usa	spike	hku1	beta
HKU1/human/USA/HKU1_3/2009_spike	KF686339_spike	seasonal_corona	2009-10-31	usa	spike	hku1	beta
Caen1_spike	HM034837_spike	seasonal_corona	2005-03-04	france	spike	hku1	beta
BJ01_p3_spike	KT779555_spike	seasonal_corona	2009-04-23	china	spike	hku1	beta
HKU1_spike	AY597011_spike	seasonal_corona	2014-XX-XX	usa	spike	hku1	beta
SC2521_spike	MK167038_spike	seasonal_corona	2017-XX-XX	usa	spike	hku1	beta
HKU1/human/USA/HKU1_20/2010_spike	KF686345_spike	seasonal_corona	2010-01-30	usa	spike	hku1	beta
HKU1/human/USA/HKU1_16/2010_spike	KF430200_spike	seasonal_corona	2010-01-08	usa	spike	hku1	beta
HKU1/human/USA/HKU1_11/2009_spike	KF686342_spike	seasonal_corona	2009-12-13	usa	spike	hku1	beta
HKU1/human/USA/HKU1_14/2009_spike	KF430199_spike	seasonal_corona	2009-12-28	usa	spike	hku1	beta
HKU1/human/USA/HKU1_13/2010_spike	KF686343_spike	seasonal_corona	2010-01-08	usa	spike	hku1	beta
HKU1/human/USA/HKU1_1/2005_spike	KF686338_spike	seasonal_corona	2005-02-18	usa	spike	hku1	beta
N09_1627B_spike	KY674942_spike	seasonal_corona	2016-XX-XX	usa	spike	hku1	beta
N09_1605B_spike	KY674943_spike	seasonal_corona	2016-XX-XX	usa	spike	hku1	beta
HKU1/human/USA/HKU1_18/2010_spike	KF430201_spike	seasonal_corona	2010-01-22	usa	spike	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_23/2006_spike	KF430203_spike	seasonal_corona	2006-XX-XX	brazil	spike	hku1	beta
BJ01_p9_spike	KT779556_spike	seasonal_corona	2009-04-23	china	spike	hku1	beta
HKU1/human/USA/HKU1_12/2010_spike	KF686346_spike	seasonal_corona	2010-01-09	usa	spike	hku1	beta
N09_1663B_spike	KY674941_spike	seasonal_corona	2016-XX-XX	usa	spike	hku1	beta
HKU1/HTBEC_lab/BRA/HKU1_21/2006_spike	KF430198_spike	seasonal_corona	2006-XX-XX	brazil	spike	hku1	beta
HKU1/human/USA/HKU1_15/2009_spike	KF686344_spike	seasonal_corona	2009-12-28	usa	spike	hku1	beta
