strain	accession	virus	date	country	source	sequence_locus	subtype
NL63/DEN/2008/16_spike	JQ765566_spike	seasonal_corona	2008-01-08	usa	spike	nl63	alpha
CN0601/14_spike	MG772808_spike	seasonal_corona	2014-11-25	south_korea	spike	nl63	alpha
NL63/DEN/2009/14_spike	JQ765564_spike	seasonal_corona	2009-03-01	usa	spike	nl63	alpha
NL63/UF_2/2015_spike	KU521535_spike	seasonal_corona	2015-09-01	usa	spike	nl63	alpha
N07_324B_182X_spike	KY554970_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
NL63/human/USA/891_6/1989_spike	KF530108_spike	seasonal_corona	1989-01-05	usa	spike	nl63	alpha
NL63/DEN/2005/1876_spike	JQ765575_spike	seasonal_corona	2005-11-21	usa	spike	nl63	alpha
Kilifi_HH_5709_19_May_2010_spike	MG428699_spike	seasonal_corona	2010-05-19	kenya	spike	nl63	alpha
NL63/human/USA/901_24/1990_spike	KF530111_spike	seasonal_corona	1990-01-05	usa	spike	nl63	alpha
NL63/DEN/2009/22_spike	JQ900256_spike	seasonal_corona	2009-03-03	usa	spike	nl63	alpha
NL63/human/USA/911_56/1991_spike	KF530107_spike	seasonal_corona	1991-01-24	usa	spike	nl63	alpha
Kilifi_HH_3807_11_May_2010_spike	MG428702_spike	seasonal_corona	2010-05-11	kenya	spike	nl63	alpha
N07_185B_spike	KY554968_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
N07_262B_spike	KY829118_spike	seasonal_corona	2015-XX-XX	usa	spike	nl63	alpha
N06_1144B_spike	KY554967_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
NL63/DEN/2005/449_spike	JQ900259_spike	seasonal_corona	2005-02-09	usa	spike	nl63	alpha
NL63/DEN/2009/31_spike	JQ900257_spike	seasonal_corona	2009-02-21	usa	spike	nl63	alpha
ChinaGD03_spike	MK334044_spike	seasonal_corona	2018-07-13	china	spike	nl63	alpha
ChinaGD04_spike	MK334047_spike	seasonal_corona	2018-07-25	china	spike	nl63	alpha
Kilifi_HH_1602_01_Jun_2010_spike	MG428700_spike	seasonal_corona	2010-06-01	kenya	spike	nl63	alpha
NL63/DEN/2005/232_spike	JQ765569_spike	seasonal_corona	2005-01-18	usa	spike	nl63	alpha
NL63/DEN/2005/271_spike	JQ765571_spike	seasonal_corona	2005-01-23	usa	spike	nl63	alpha
NL63/Haiti_3/2015_spike	KX179498_spike	seasonal_corona	2015-01-22	haiti	spike	nl63	alpha
NL63/human/USA/012_31/2001_spike	KF530105_spike	seasonal_corona	2001-02-23	usa	spike	nl63	alpha
ChinaGD02_spike	MK334043_spike	seasonal_corona	2018-08-15	china	spike	nl63	alpha
HCoV_NL63/Seattle/USA/SC0179/2018_spike	MN306018_spike	seasonal_corona	2018-XX-XX	usa	spike	nl63	alpha
N07_64B_spike	KY674916_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
NL63/human/USA/905_25/1990_spike	KF530113_spike	seasonal_corona	1990-05-29	usa	spike	nl63	alpha
NL63/human/USA/903_28/1990_spike	KF530109_spike	seasonal_corona	1990-03-21	usa	spike	nl63	alpha
NL63/DEN/2005/291_spike	JQ900258_spike	seasonal_corona	2005-01-26	usa	spike	nl63	alpha
NL63/Haiti_4/2015_spike	KX179499_spike	seasonal_corona	2015-01-27	haiti	spike	nl63	alpha
NL63/DEN/2009/9_spike	JQ765563_spike	seasonal_corona	2009-03-16	usa	spike	nl63	alpha
NL63/human/USA/838_9/1983_spike	KF530110_spike	seasonal_corona	1983-08-16	usa	spike	nl63	alpha
NL63/DEN/2005/347_spike	JQ765572_spike	seasonal_corona	2005-02-01	usa	spike	nl63	alpha
Kilifi_HH_3808_24_May_2010_spike	MG428706_spike	seasonal_corona	2010-05-24	kenya	spike	nl63	alpha
