strain	accession	virus	date	country	source	sequence_locus	subtype
Kilifi_HH_0522_21_May_2010_spike	MG428705_spike	seasonal_corona	2010-05-21	kenya	spike	nl63	alpha
Kilifi_HH_0512_04_Jun_2010_spike	MG428701_spike	seasonal_corona	2010-06-04	kenya	spike	nl63	alpha
NL63/RPTEC/2004_spike	JX504050_spike	seasonal_corona	2004-XX-XX	usa	spike	nl63	alpha
NL63/human/USA/891_4/1989_spike	KF530114_spike	seasonal_corona	1989-01-03	usa	spike	nl63	alpha
HCoV_NL63/Seattle/USA/SC0768/2019_spike	MN306040_spike	seasonal_corona	2019-XX-XX	usa	spike	nl63	alpha
Kilifi_HH_5402_20_May_2010_spike	MG428704_spike	seasonal_corona	2010-05-20	kenya	spike	nl63	alpha
Kilifi_HH_5401_20_May_2010_spike	MG428707_spike	seasonal_corona	2010-05-20	kenya	spike	nl63	alpha
NL63/human/USA/904_20/1990_spike	KF530104_spike	seasonal_corona	1990-04-26	usa	spike	nl63	alpha
Kilifi_HH_0511_01_Jun_2010_spike	MG428703_spike	seasonal_corona	2010-06-01	kenya	spike	nl63	alpha
NL63_KLF_01_2018_spike	MN026166_spike	seasonal_corona	2018-01-29	kenya	spike	nl63	alpha
NL63/DEN/2005/193_spike	JQ765568_spike	seasonal_corona	2005-01-11	usa	spike	nl63	alpha
N07_6B_spike	KY674915_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
NL63/DEN/2005/1120_spike	JQ900260_spike	seasonal_corona	2005-04-25	usa	spike	nl63	alpha
NL63/human/USA/0111_25/2001_spike	KF530112_spike	seasonal_corona	2001-11-21	usa	spike	nl63	alpha
NL63/DEN/2005/1062_spike	JQ765573_spike	seasonal_corona	2005-04-12	usa	spike	nl63	alpha
NL63/DEN/2005/1862_spike	JQ765574_spike	seasonal_corona	2005-11-XX	usa	spike	nl63	alpha
HCoV_NL63/Seattle/USA/SC2940/2015_spike	KY983586_spike	seasonal_corona	2015-XX-XX	usa	spike	nl63	alpha
NL63/DEN/2009/20_spike	JQ765567_spike	seasonal_corona	2009-03-12	usa	spike	nl63	alpha
N07_196B_spike	KY554969_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
NL63/UF_1/2015_spike	KT381875_spike	seasonal_corona	2015-XX-XX	usa	spike	nl63	alpha
ChinaGD05_spike	MK334045_spike	seasonal_corona	2018-08-14	china	spike	nl63	alpha
NL63/DEN/2005/235_spike	JQ765570_spike	seasonal_corona	2005-01-19	usa	spike	nl63	alpha
NL63/Haiti_2/2015_spike	KX179497_spike	seasonal_corona	2015-01-21	haiti	spike	nl63	alpha
N07_468B_176X_spike	KY554971_spike	seasonal_corona	2016-XX-XX	usa	spike	nl63	alpha
ChinaGD01_spike	MK334046_spike	seasonal_corona	2018-09-01	china	spike	nl63	alpha
CBJ123_spike	JX524171_spike	seasonal_corona	2009-01-24	china	spike	nl63	alpha
NL63/human/USA/8712_17/1987_spike	KF530106_spike	seasonal_corona	1987-12-16	usa	spike	nl63	alpha
NL63/DEN/2009/15_spike	JQ765565_spike	seasonal_corona	2009-02-13	usa	spike	nl63	alpha
HCoV_NL63/Haiti_1/2015_spike	KT266906_spike	seasonal_corona	2015-01-16	haiti	spike	nl63	alpha
CBJ_037_spike	JX104161_spike	seasonal_corona	2008-11-04	china	spike	nl63	alpha
NL63/DEN/2009/6_spike	JQ900255_spike	seasonal_corona	2009-02-25	usa	spike	nl63	alpha
